"","TotGrad","TotEnrl","PctEnrl","Under18_Tot","Under5_Tot","Under5_ER","Under5_Hosp","FivePlus_Tot","FivePlus_ER","Tot_ER_Visits","Tot_Hosp_Visits","AsthmaCt","Diabetes1Ct","Diabetes2Ct","DiabetesOtherCt","PctUndr5ER","PctOvr5ER","PctAsthma","PctDiabetes","CntTested","EBLL","Under6CntTested","Under6EBLL","Under18CntTested","Under18EBLL","PctEBLL","PctUnder6EBLL","PctUnder18EBLL"
"46",59,24,0.406779661016949,32,18,6,12,14,6,12,20,12,0,0,0,0.333333,0.428571428571429,0.375,0,62,2,54,2,59,2,0.032258064516129,0.037037037037037,0.0338983050847458
"47",59,24,0.406779661016949,32,18,6,12,14,6,12,20,12,0,0,0,0.333333,0.428571428571429,0.375,0,62,2,54,2,59,2,0.032258064516129,0.037037037037037,0.0338983050847458
"48",59,24,0.406779661016949,32,18,6,12,14,6,12,20,12,0,0,0,0.333333,0.428571428571429,0.375,0,62,2,54,2,59,2,0.032258064516129,0.037037037037037,0.0338983050847458
"49",59,24,0.406779661016949,32,18,6,12,14,6,12,20,12,0,0,0,0.333333,0.428571428571429,0.375,0,62,2,54,2,59,2,0.032258064516129,0.037037037037037,0.0338983050847458
"50",59,24,0.406779661016949,32,18,6,12,14,6,12,20,12,0,0,0,0.333333,0.428571428571429,0.375,0,62,2,54,2,59,2,0.032258064516129,0.037037037037037,0.0338983050847458
"51",25,13,0.52,45,22,9,13,23,9,18,27,7,0,0,0,0.409091,0.391304347826087,0.155556,0,21,6,14,2,16,2,0.285714285714286,0.142857142857143,0.125
"52",25,13,0.52,45,22,9,13,23,9,18,27,7,0,0,0,0.409091,0.391304347826087,0.155556,0,21,6,14,2,16,2,0.285714285714286,0.142857142857143,0.125
"53",25,13,0.52,45,22,9,13,23,9,18,27,7,0,0,0,0.409091,0.391304347826087,0.155556,0,21,6,14,2,16,2,0.285714285714286,0.142857142857143,0.125
"54",25,13,0.52,45,22,9,13,23,9,18,27,7,0,0,0,0.409091,0.391304347826087,0.155556,0,21,6,14,2,16,2,0.285714285714286,0.142857142857143,0.125
"55",25,13,0.52,45,22,9,13,23,9,18,27,7,0,0,0,0.409091,0.391304347826087,0.155556,0,21,6,14,2,16,2,0.285714285714286,0.142857142857143,0.125
"600",173,46,0.265895953757225,68,37,13,24,31,15,28,40,14,0,0,0,0.351351,0.483870967741936,0.205882,0,48,7,38,6,48,7,0.145833333333333,0.157894736842105,0.145833333333333
"601",173,46,0.265895953757225,68,37,13,24,31,15,28,40,14,0,0,0,0.351351,0.483870967741936,0.205882,0,48,7,38,6,48,7,0.145833333333333,0.157894736842105,0.145833333333333
"602",173,46,0.265895953757225,68,37,13,24,31,15,28,40,14,0,0,0,0.351351,0.483870967741936,0.205882,0,48,7,38,6,48,7,0.145833333333333,0.157894736842105,0.145833333333333
"603",173,46,0.265895953757225,68,37,13,24,31,15,28,40,14,0,0,0,0.351351,0.483870967741936,0.205882,0,48,7,38,6,48,7,0.145833333333333,0.157894736842105,0.145833333333333
"604",173,46,0.265895953757225,68,37,13,24,31,15,28,40,14,0,0,0,0.351351,0.483870967741936,0.205882,0,48,7,38,6,48,7,0.145833333333333,0.157894736842105,0.145833333333333
"605",173,46,0.265895953757225,68,37,13,24,31,15,28,40,14,0,0,0,0.351351,0.483870967741936,0.205882,0,48,7,38,6,48,7,0.145833333333333,0.157894736842105,0.145833333333333
"1061",23,4,0.173913,54,30,10,20,24,9,19,35,12,0,0,0,0.333333333333333,0.375,0.222222,0,19,6,14,5,16,5,0.315789473684211,0.357142857142857,0.3125
"1062",23,4,0.173913,54,30,10,20,24,9,19,35,12,0,0,0,0.333333333333333,0.375,0.222222,0,19,6,14,5,16,5,0.315789473684211,0.357142857142857,0.3125
"1063",23,4,0.173913,54,30,10,20,24,9,19,35,12,0,0,0,0.333333333333333,0.375,0.222222,0,19,6,14,5,16,5,0.315789473684211,0.357142857142857,0.3125
"1064",23,4,0.173913,54,30,10,20,24,9,19,35,12,0,0,0,0.333333333333333,0.375,0.222222,0,19,6,14,5,16,5,0.315789473684211,0.357142857142857,0.3125
"1065",23,4,0.173913,54,30,10,20,24,9,19,35,12,0,0,0,0.333333333333333,0.375,0.222222,0,19,6,14,5,16,5,0.315789473684211,0.357142857142857,0.3125
"1140",66,28,0.424242424242424,46,30,12,18,16,6,18,28,8,0,0,0,0.4,0.375,0.173913,0,43,5,38,5,42,5,0.116279069767442,0.131578947368421,0.119047619047619
"1141",66,28,0.424242424242424,46,30,12,18,16,6,18,28,8,0,0,0,0.4,0.375,0.173913,0,43,5,38,5,42,5,0.116279069767442,0.131578947368421,0.119047619047619
"1510",18,4,0.222222222222222,34,18,6,12,16,7,13,21,8,0,0,0,0.333333,0.4375,0.235294,0,63,4,49,2,63,4,0.0634920634920635,0.0408163265306122,0.0634920634920635
"1511",18,4,0.222222222222222,34,18,6,12,16,7,13,21,8,0,0,0,0.333333,0.4375,0.235294,0,63,4,49,2,63,4,0.0634920634920635,0.0408163265306122,0.0634920634920635
"1512",18,4,0.222222222222222,34,18,6,12,16,7,13,21,8,0,0,0,0.333333,0.4375,0.235294,0,63,4,49,2,63,4,0.0634920634920635,0.0408163265306122,0.0634920634920635
"1513",18,4,0.222222222222222,34,18,6,12,16,7,13,21,8,0,0,0,0.333333,0.4375,0.235294,0,63,4,49,2,63,4,0.0634920634920635,0.0408163265306122,0.0634920634920635
"1514",18,4,0.222222222222222,34,18,6,12,16,7,13,21,8,0,0,0,0.333333,0.4375,0.235294,0,63,4,49,2,63,4,0.0634920634920635,0.0408163265306122,0.0634920634920635
"1515",18,4,0.222222222222222,34,18,6,12,16,7,13,21,8,0,0,0,0.333333,0.4375,0.235294,0,63,4,49,2,63,4,0.0634920634920635,0.0408163265306122,0.0634920634920635
"1516",18,4,0.222222222222222,34,18,6,12,16,7,13,21,8,0,0,0,0.333333,0.4375,0.235294,0,63,4,49,2,63,4,0.0634920634920635,0.0408163265306122,0.0634920634920635
